	status	message	query	IP	country	countryCode	region	regionName	city	zip	lat	lon	timezone	isp	org	as
0	fail	reserved range	127.0.0.1	127.0.0.1												
1	success		66.249.76.216	66.249.76.216	United States	US	CA	California	Mountain View	94043	37.422	-122.084	America/Los_Angeles	Google LLC	Google LLC	AS15169 Google LLC
2	success		5.255.253.53	5.255.253.53	Russia	RU	MOW	Moscow	Moscow	101194	55.7332	37.5833	Europe/Moscow	Yandex enterprise network	Yandex LLC	AS208722 Global DC Oy
3	success		157.55.35.112	157.55.35.112	Canada	CA	ON	Ontario	Toronto	M5A	43.6532	-79.3832	America/Toronto	Microsoft Corporation	Microsoft Corporation	AS8075 Microsoft Corporation
4	success		193.111.141.116	193.111.141.116	Germany	DE	NW	North Rhine-Westphalia	Düsseldorf	40472	51.2705	6.8144	Europe/Berlin	Ripe NCC	Ripe NCC	
5	success		5.10.83.71	5.10.83.71	Netherlands	NL	NH	North Holland	Amsterdam	1012	52.3759	4.8975	Europe/Amsterdam	SoftLayer	Cognizant Technology Solutions - Demo Account	AS36351 SoftLayer Technologies Inc.
6	success		180.76.5.223	180.76.5.223	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
7	success		180.76.6.148	180.76.6.148	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
8	success		180.76.5.188	180.76.5.188	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
9	success		180.76.6.135	180.76.6.135	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
10	success		180.76.6.44	180.76.6.44	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
11	success		180.76.5.172	180.76.5.172	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
12	success		180.76.5.18	180.76.5.18	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
13	success		157.56.92.174	157.56.92.174	United States	US	WA	Washington	Quincy-moses Lake	98848	47.2342	-119.8525	America/Los_Angeles	Microsoft Corporation	Microsoft Corporation	AS8075 Microsoft Corporation
14	success		74.86.158.107	74.86.158.107	United States	US	TX	Texas	Dallas	75270	32.7767	-96.805	America/Chicago	SoftLayer	SoftLayer Technologies Inc	AS36351 SoftLayer Technologies Inc.
15	success		180.76.6.136	180.76.6.136	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
16	success		5.10.83.87	5.10.83.87	Netherlands	NL	NH	North Holland	Amsterdam	1012	52.3759	4.8975	Europe/Amsterdam	SoftLayer	Cognizant Technology Solutions - Demo Account	AS36351 SoftLayer Technologies Inc.
17	success		5.10.83.21	5.10.83.21	Netherlands	NL	NH	North Holland	Amsterdam	1012	52.3759	4.8975	Europe/Amsterdam	SoftLayer	Gallant Capital Markets, Ltd.	AS36351 SoftLayer Technologies Inc.
18	success		5.10.83.31	5.10.83.31	Netherlands	NL	NH	North Holland	Amsterdam	1012	52.3759	4.8975	Europe/Amsterdam	SoftLayer	Gallant Capital Markets, Ltd.	AS36351 SoftLayer Technologies Inc.
19	success		180.76.5.64	180.76.5.64	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
20	success		180.76.5.31	180.76.5.31	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
21	success		180.76.5.27	180.76.5.27	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
22	success		180.76.5.65	180.76.5.65	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
23	success		157.55.33.97	157.55.33.97	United States	US	WA	Washington	Quincy-moses Lake	98848	47.2342	-119.8525	America/Los_Angeles	Microsoft Corporation	Microsoft Corporation	AS8075 Microsoft Corporation
24	success		217.12.28.5	217.12.28.5	Spain	ES	AN	Andalusia	Seville	41003	37.3831	-5.9707	Europe/Madrid	Sociedad Andaluza para el Desarrollo de las Telecomunicaciones S.A.	Nix2 VF	AS34285 Sociedad Andaluza para el Desarrollo de las Telecomunicaciones S.A.
25	success		180.76.6.64	180.76.6.64	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
26	success		5.10.83.64	5.10.83.64	Netherlands	NL	NH	North Holland	Amsterdam	1012	52.3759	4.8975	Europe/Amsterdam	SoftLayer	Cognizant Technology Solutions - Demo Account	AS36351 SoftLayer Technologies Inc.
27	success		180.76.5.195	180.76.5.195	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
28	success		180.76.6.40	180.76.6.40	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
29	success		180.76.5.200	180.76.5.200	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
30	success		131.253.24.3	131.253.24.3	United States	US	VA	Virginia	Boydton	23917	36.677696	-78.37471	America/New_York	Microsoft Corporation	Microsoft Azure Cloud (eastus2)	AS8075 Microsoft Corporation
31	success		199.30.20.223	199.30.20.223	United States	US	VA	Virginia	Boydton	23917	36.677696	-78.37471	America/New_York	Microsoft Corporation	Microsoft Azure Cloud (eastus2)	AS8075 Microsoft Corporation
32	success		180.76.6.50	180.76.6.50	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
33	success		180.76.5.168	180.76.5.168	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
34	success		157.55.32.88	157.55.32.88	United States	US	WA	Washington	Quincy-moses Lake	98848	47.2342	-119.8525	America/Los_Angeles	Microsoft Corporation	Microsoft Corporation	AS8075 Microsoft Corporation
35	success		5.10.83.88	5.10.83.88	Netherlands	NL	NH	North Holland	Amsterdam	1012	52.3759	4.8975	Europe/Amsterdam	SoftLayer	Cognizant Technology Solutions - Demo Account	AS36351 SoftLayer Technologies Inc.
36	success		180.76.5.23	180.76.5.23	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
37	success		180.76.5.145	180.76.5.145	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
38	success		180.76.6.16	180.76.6.16	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
39	success		176.31.255.177	176.31.255.177	France	FR	HDF	Hauts-de-France	Roubaix	59100	50.6917	3.20157	Europe/Paris	OVH SAS	OVH ISP	AS16276 OVH SAS
40	success		185.10.104.131	185.10.104.131	Germany	DE	HE	Hesse	Frankfurt am Main	60313	50.1109	8.68213	Europe/Berlin	Beijing Baidu Netcom Science and Technology Co., Ltd.	Baidu (Hong Kong) Limited	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
41	success		180.76.6.55	180.76.6.55	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
42	success		180.76.5.95	180.76.5.95	China	CN	BJ	Beijing	Beijing		39.9042	116.407	Asia/Shanghai	Beijing Baidu Netcom Science and Technology Co., Ltd.	Beijing Baidu Netcom Science and Technology Co., Ltd.	AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.
